ds,yhat,yhat_lower,yhat_upper
2018-01-17,8402.398674573498,2403.9540175512006,14750.032281188456
2018-01-18,8196.665713696815,2693.595853289126,14407.242690375442
2018-01-19,8104.104361002702,2281.756916039644,13836.925022269479
2018-01-20,7945.951275655567,2609.2672743237845,14231.169944786818
2018-01-21,7863.33026681433,1981.4139686516141,14471.672398066574
2018-01-22,7886.813209824269,1809.6772448052698,14062.391960357685
2018-01-23,7764.143893282279,1664.9472652955137,13741.03040213732
2018-01-24,7798.6781833295045,1602.0248930035068,13624.060877887405
2018-01-25,7694.028631930216,1251.5165846385833,13404.872303976386
2018-01-26,7716.210577394122,1962.5154494472663,14270.108707894575
2018-01-27,7684.636364136508,1597.5372927427495,13621.005278670638
2018-01-28,7738.380153620398,1511.1891691860899,13935.864303392718
2018-01-29,7905.779880216592,1605.694453758543,13910.018780724757
2018-01-30,7932.206229126701,1973.45304211595,14053.085905085774
2018-01-31,8118.551047170176,2403.048296198453,13955.203449385848
2018-02-01,8165.922257562621,2114.206214940494,13858.086478423063
2018-02-02,8337.841215412775,2184.6277094516295,14543.017370834059
2018-02-03,8451.287989373892,2329.212810936854,13808.255888535567
2018-02-04,8643.023207478178,2558.190323006175,14552.514614569676
2018-02-05,8939.215345973193,3080.9127647108558,14492.141001259666
2018-02-06,9083.275376949116,3144.5283629703736,14960.846674191816
2018-02-07,9374.377084143678,3658.760389987428,15166.928523609411
2018-02-08,9512.185780334634,3031.3579805478744,15998.216094077225
2018-02-09,9759.083283300084,4213.161468345096,15949.06317851766
2018-02-10,9931.234008965752,3812.1541941983523,15502.086326753246
2018-02-11,10164.913040021189,4068.358927828366,16091.062874154386
2018-02-12,10486.161303992372,4349.832258051937,16312.493524164482
2018-02-13,10638.596546829564,4277.456240593775,16948.626125150637
2018-02-14,10921.931579884837,4831.340470061612,16979.742431705665
2018-02-15,11036.68621993472,5143.554090526406,17006.88493356915
2018-02-16,11246.388505636623,5397.068101962997,16964.74332941865
2018-02-17,11368.610630007242,5225.684379399749,17184.7467593815
2018-02-18,11541.261179768648,5224.025833398088,17854.566740647268
2018-02-19,11792.19968209199,5501.755601856664,17074.66502927612
2018-02-20,11867.003124350018,6341.441316511349,17787.78321284657
2018-02-21,12067.436993439864,6207.343965652137,17394.640891535193
2018-02-22,12096.11838608358,6290.342655185859,18181.879038550294
2018-02-23,12218.667940552481,6061.256495214278,17584.163589139007
2018-02-24,12254.69720314544,6098.242257777676,18493.7759791458
2018-02-25,12344.054171835658,6134.135271251842,18219.033081819256
2018-02-26,12516.394118716637,6856.65035201803,18304.58390161486
2018-02-27,12518.906380427223,6935.674053733464,18579.194172835418
2018-02-28,12654.750584059566,6699.20843734521,18251.177353541585
2018-03-01,12627.690655739938,6723.579949985362,18534.936150667134
2018-03-02,12704.224013587924,6776.653421069678,18534.9998401236
2018-03-03,12704.553049417373,6189.9865782252455,18361.154244432215
2018-03-04,12768.821960771127,6518.810356082585,18422.867827752627
2018-03-05,12926.68617493178,7048.57261784092,19208.44466302007
2018-03-06,12925.04501221672,7231.233662642327,18880.49237101727
2018-03-07,13066.490834170587,7308.428234160067,19117.185011461086
2018-03-08,13053.962628370642,7006.560037771068,18960.62242938192
2018-03-09,13152.90087332933,7099.399924190189,19480.176134156052
2018-03-10,13182.2500818257,6885.817441641702,19400.67807560615
2018-03-11,13280.731249065768,7228.507274249273,19810.703422760926
2018-03-12,13476.450504866418,8181.968643111703,19456.443242805326
2018-03-13,13514.673592006222,7712.826757047077,19029.059865631018
2018-03-14,13696.318335055887,8066.336991834319,19569.41884782604
2018-03-15,13722.651941854285,7350.733656240591,19528.996287559938
2018-03-16,13857.488871832331,7677.041562063672,20274.28426331385
2018-03-17,13918.234588842231,8114.304768655147,19734.537434669463
